"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"289",1,28,"disamb","rp",71,0.5,"disamb rp",8,0,324,324,-0.5,0.5,324
"291",1,46,"disamb","rp",71,0.5,"disamb rp",6,0,292,292,-0.5,-0.5,292
"293",1,40,"disamb","rp",71,0.5,"disamb rp",8,0,329,329,-0.5,0.5,329
"295",1,25,"disamb","rp",71,0.5,"disamb rp",5,0,146,146,0.5,-0.5,146
"297",1,42,"disamb","rp",71,0.5,"disamb rp",6,0,282,282,-0.5,-0.5,282
"299",1,37,"disamb","rp",71,0.5,"disamb rp",5,0,323,323,0.5,-0.5,323
"301",1,26,"disamb","rp",71,0.5,"disamb rp",6,0,309,309,-0.5,-0.5,309
"303",1,30,"disamb","rp",71,0.5,"disamb rp",6,0,299,299,-0.5,-0.5,299
"305",1,32,"disamb","rp",71,0.5,"disamb rp",8,0,323,323,-0.5,0.5,323
"307",1,31,"disamb","rp",71,0.5,"disamb rp",7,1,0,NA,0.5,0.5,NA
"309",1,47,"disamb","rp",71,0.5,"disamb rp",7,0,232,232,0.5,0.5,232
"311",1,44,"disamb","rp",71,0.5,"disamb rp",8,0,686,686,-0.5,0.5,686
"313",1,27,"disamb","rp",71,0.5,"disamb rp",7,0,317,317,0.5,0.5,317
"315",1,33,"disamb","rp",71,0.5,"disamb rp",5,0,290,290,0.5,-0.5,290
"317",1,45,"disamb","rp",71,0.5,"disamb rp",5,0,220,220,0.5,-0.5,220
"319",1,34,"disamb","rp",71,0.5,"disamb rp",6,0,179,179,-0.5,-0.5,179
"321",1,35,"disamb","rp",71,0.5,"disamb rp",7,0,190,190,0.5,0.5,190
"323",1,29,"disamb","rp",71,0.5,"disamb rp",5,0,325,325,0.5,-0.5,325
"325",1,41,"disamb","rp",71,0.5,"disamb rp",5,0,205,205,0.5,-0.5,205
"327",1,38,"disamb","rp",71,0.5,"disamb rp",6,0,310,310,-0.5,-0.5,310
"329",1,43,"disamb","rp",71,0.5,"disamb rp",7,0,364,364,0.5,0.5,364
"331",1,39,"disamb","rp",71,0.5,"disamb rp",7,0,404,404,0.5,0.5,404
"333",1,48,"disamb","rp",71,0.5,"disamb rp",8,0,750,750,-0.5,0.5,750
"335",1,36,"disamb","rp",71,0.5,"disamb rp",8,0,267,267,-0.5,0.5,267
"1153",2,32,"disamb","rp",71,0.5,"disamb rp",5,0,496,496,0.5,-0.5,496
"1155",2,48,"disamb","rp",71,0.5,"disamb rp",5,0,603,603,0.5,-0.5,603
"1157",2,40,"disamb","rp",71,0.5,"disamb rp",5,1,0,NA,0.5,-0.5,NA
"1159",2,28,"disamb","rp",71,0.5,"disamb rp",5,0,705,705,0.5,-0.5,705
"1161",2,38,"disamb","rp",71,0.5,"disamb rp",7,0,640,640,0.5,0.5,640
"1163",2,42,"disamb","rp",71,0.5,"disamb rp",7,0,364,364,0.5,0.5,364
"1165",2,37,"disamb","rp",71,0.5,"disamb rp",6,0,273,273,-0.5,-0.5,273
"1167",2,29,"disamb","rp",71,0.5,"disamb rp",6,0,203,203,-0.5,-0.5,203
"1169",2,45,"disamb","rp",71,0.5,"disamb rp",6,0,383,383,-0.5,-0.5,383
"1171",2,41,"disamb","rp",71,0.5,"disamb rp",6,0,433,433,-0.5,-0.5,433
"1173",2,35,"disamb","rp",71,0.5,"disamb rp",8,0,507,507,-0.5,0.5,507
"1175",2,44,"disamb","rp",71,0.5,"disamb rp",5,0,721,721,0.5,-0.5,721
"1177",2,46,"disamb","rp",71,0.5,"disamb rp",7,1,0,NA,0.5,0.5,NA
"1179",2,26,"disamb","rp",71,0.5,"disamb rp",7,0,210,210,0.5,0.5,210
"1181",2,25,"disamb","rp",71,0.5,"disamb rp",6,1,0,NA,-0.5,-0.5,NA
"1183",2,47,"disamb","rp",71,0.5,"disamb rp",8,0,356,356,-0.5,0.5,356
"1185",2,34,"disamb","rp",71,0.5,"disamb rp",7,1,0,NA,0.5,0.5,NA
"1187",2,43,"disamb","rp",71,0.5,"disamb rp",8,0,334,334,-0.5,0.5,334
"1189",2,33,"disamb","rp",71,0.5,"disamb rp",6,0,424,424,-0.5,-0.5,424
"1191",2,39,"disamb","rp",71,0.5,"disamb rp",8,0,870,870,-0.5,0.5,870
"1193",2,30,"disamb","rp",71,0.5,"disamb rp",7,0,130,130,0.5,0.5,130
"1195",2,31,"disamb","rp",71,0.5,"disamb rp",8,0,718,718,-0.5,0.5,718
"1197",2,36,"disamb","rp",71,0.5,"disamb rp",5,0,674,674,0.5,-0.5,674
"1199",2,27,"disamb","rp",71,0.5,"disamb rp",8,0,209,209,-0.5,0.5,209
"2017",3,36,"disamb","rp",74,-0.5,"disamb rp",6,0,244,244,-0.5,-0.5,244
"2019",3,27,"disamb","rp",74,-0.5,"disamb rp",5,0,239,239,0.5,-0.5,239
"2021",3,37,"disamb","rp",74,-0.5,"disamb rp",7,0,663,663,0.5,0.5,663
"2023",3,41,"disamb","rp",74,-0.5,"disamb rp",7,0,335,335,0.5,0.5,335
"2025",3,26,"disamb","rp",74,-0.5,"disamb rp",8,0,288,288,-0.5,0.5,288
"2027",3,45,"disamb","rp",74,-0.5,"disamb rp",7,0,489,489,0.5,0.5,489
"2029",3,42,"disamb","rp",74,-0.5,"disamb rp",8,0,706,706,-0.5,0.5,706
"2031",3,47,"disamb","rp",74,-0.5,"disamb rp",5,0,738,738,0.5,-0.5,738
"2033",3,29,"disamb","rp",74,-0.5,"disamb rp",7,0,906,906,0.5,0.5,906
"2035",3,34,"disamb","rp",74,-0.5,"disamb rp",8,0,555,555,-0.5,0.5,555
"2037",3,39,"disamb","rp",74,-0.5,"disamb rp",5,0,412,412,0.5,-0.5,412
"2039",3,48,"disamb","rp",74,-0.5,"disamb rp",6,0,417,417,-0.5,-0.5,417
"2041",3,44,"disamb","rp",74,-0.5,"disamb rp",6,0,328,328,-0.5,-0.5,328
"2043",3,43,"disamb","rp",74,-0.5,"disamb rp",5,0,360,360,0.5,-0.5,360
"2045",3,28,"disamb","rp",74,-0.5,"disamb rp",6,0,274,274,-0.5,-0.5,274
"2047",3,40,"disamb","rp",74,-0.5,"disamb rp",6,0,478,478,-0.5,-0.5,478
"2049",3,30,"disamb","rp",74,-0.5,"disamb rp",8,0,312,312,-0.5,0.5,312
"2051",3,32,"disamb","rp",74,-0.5,"disamb rp",6,0,1080,1080,-0.5,-0.5,1080
"2053",3,25,"disamb","rp",74,-0.5,"disamb rp",7,1,0,NA,0.5,0.5,NA
"2055",3,38,"disamb","rp",74,-0.5,"disamb rp",8,0,238,238,-0.5,0.5,238
"2057",3,33,"disamb","rp",74,-0.5,"disamb rp",7,0,445,445,0.5,0.5,445
"2059",3,31,"disamb","rp",74,-0.5,"disamb rp",5,0,291,291,0.5,-0.5,291
"2061",3,46,"disamb","rp",74,-0.5,"disamb rp",8,0,380,380,-0.5,0.5,380
"2063",3,35,"disamb","rp",74,-0.5,"disamb rp",5,0,261,261,0.5,-0.5,261
"2857",4,28,"disamb","rp",72,-0.5,"disamb rp",7,0,486,486,0.5,0.5,486
"2859",4,31,"disamb","rp",72,-0.5,"disamb rp",6,0,2730,2730,-0.5,-0.5,2730
"2861",4,44,"disamb","rp",72,-0.5,"disamb rp",7,0,1384,1384,0.5,0.5,1384
"2863",4,26,"disamb","rp",72,-0.5,"disamb rp",5,0,9416,9416,0.5,-0.5,NA
"2865",4,37,"disamb","rp",72,-0.5,"disamb rp",8,0,653,653,-0.5,0.5,653
"2867",4,32,"disamb","rp",72,-0.5,"disamb rp",7,0,476,476,0.5,0.5,476
"2869",4,36,"disamb","rp",72,-0.5,"disamb rp",7,0,690,690,0.5,0.5,690
"2871",4,38,"disamb","rp",72,-0.5,"disamb rp",5,0,1002,1002,0.5,-0.5,1002
"2873",4,46,"disamb","rp",72,-0.5,"disamb rp",5,0,293,293,0.5,-0.5,293
"2874",4,29,"disamb","rp",72,-0.5,"disamb rp",8,0,482,482,-0.5,0.5,482
"2876",4,43,"disamb","rp",72,-0.5,"disamb rp",6,0,2719,2719,-0.5,-0.5,2719
"2878",4,33,"disamb","rp",72,-0.5,"disamb rp",8,0,957,957,-0.5,0.5,957
"2880",4,45,"disamb","rp",72,-0.5,"disamb rp",8,0,636,636,-0.5,0.5,636
"2882",4,30,"disamb","rp",72,-0.5,"disamb rp",5,0,244,244,0.5,-0.5,244
"2883",4,40,"disamb","rp",72,-0.5,"disamb rp",7,0,331,331,0.5,0.5,331
"2885",4,41,"disamb","rp",72,-0.5,"disamb rp",8,0,942,942,-0.5,0.5,942
"2887",4,48,"disamb","rp",72,-0.5,"disamb rp",7,0,745,745,0.5,0.5,745
"2889",4,42,"disamb","rp",72,-0.5,"disamb rp",5,0,493,493,0.5,-0.5,493
"2890",4,25,"disamb","rp",72,-0.5,"disamb rp",8,0,346,346,-0.5,0.5,346
"2892",4,27,"disamb","rp",72,-0.5,"disamb rp",6,0,888,888,-0.5,-0.5,888
"2894",4,47,"disamb","rp",72,-0.5,"disamb rp",6,0,154,154,-0.5,-0.5,154
"2896",4,39,"disamb","rp",72,-0.5,"disamb rp",6,0,594,594,-0.5,-0.5,594
"2898",4,34,"disamb","rp",72,-0.5,"disamb rp",5,0,460,460,0.5,-0.5,460
"2899",4,35,"disamb","rp",72,-0.5,"disamb rp",6,0,795,795,-0.5,-0.5,795
"3674",5,42,"disamb","rp",66,0.5,"disamb rp",6,0,407,407,-0.5,-0.5,407
"3676",5,47,"disamb","rp",66,0.5,"disamb rp",7,0,284,284,0.5,0.5,284
"3678",5,25,"disamb","rp",66,0.5,"disamb rp",5,0,384,384,0.5,-0.5,384
"3680",5,43,"disamb","rp",66,0.5,"disamb rp",7,0,906,906,0.5,0.5,906
"3682",5,33,"disamb","rp",66,0.5,"disamb rp",5,0,366,366,0.5,-0.5,366
"3684",5,41,"disamb","rp",66,0.5,"disamb rp",5,0,478,478,0.5,-0.5,478
"3686",5,29,"disamb","rp",66,0.5,"disamb rp",5,0,481,481,0.5,-0.5,481
"3688",5,39,"disamb","rp",66,0.5,"disamb rp",7,0,595,595,0.5,0.5,595
"3690",5,40,"disamb","rp",66,0.5,"disamb rp",8,0,709,709,-0.5,0.5,709
"3692",5,28,"disamb","rp",66,0.5,"disamb rp",8,0,2778,2778,-0.5,0.5,NA
"3694",5,46,"disamb","rp",66,0.5,"disamb rp",6,0,271,271,-0.5,-0.5,271
"3696",5,31,"disamb","rp",66,0.5,"disamb rp",7,0,453,453,0.5,0.5,453
"3698",5,36,"disamb","rp",66,0.5,"disamb rp",8,0,390,390,-0.5,0.5,390
"3700",5,27,"disamb","rp",66,0.5,"disamb rp",7,0,452,452,0.5,0.5,452
"3702",5,38,"disamb","rp",66,0.5,"disamb rp",6,0,407,407,-0.5,-0.5,407
"3704",5,26,"disamb","rp",66,0.5,"disamb rp",6,0,195,195,-0.5,-0.5,195
"3706",5,44,"disamb","rp",66,0.5,"disamb rp",8,0,427,427,-0.5,0.5,427
"3708",5,45,"disamb","rp",66,0.5,"disamb rp",5,0,474,474,0.5,-0.5,474
"3710",5,30,"disamb","rp",66,0.5,"disamb rp",6,0,349,349,-0.5,-0.5,349
"3712",5,32,"disamb","rp",66,0.5,"disamb rp",8,0,595,595,-0.5,0.5,595
"3714",5,37,"disamb","rp",66,0.5,"disamb rp",5,0,524,524,0.5,-0.5,524
"3716",5,34,"disamb","rp",66,0.5,"disamb rp",6,0,931,931,-0.5,-0.5,931
"3718",5,48,"disamb","rp",66,0.5,"disamb rp",8,0,377,377,-0.5,0.5,377
"3720",5,35,"disamb","rp",66,0.5,"disamb rp",7,0,501,501,0.5,0.5,501
"4532",6,42,"disamb","rp",89,-0.5,"disamb rp",7,0,1092,1092,0.5,0.5,1092
"4534",6,36,"disamb","rp",89,-0.5,"disamb rp",5,0,606,606,0.5,-0.5,606
"4536",6,30,"disamb","rp",89,-0.5,"disamb rp",7,0,372,372,0.5,0.5,372
"4538",6,26,"disamb","rp",89,-0.5,"disamb rp",7,0,232,232,0.5,0.5,232
"4540",6,27,"disamb","rp",89,-0.5,"disamb rp",8,0,244,244,-0.5,0.5,244
"4542",6,28,"disamb","rp",89,-0.5,"disamb rp",5,0,2874,2874,0.5,-0.5,NA
"4544",6,35,"disamb","rp",89,-0.5,"disamb rp",8,0,216,216,-0.5,0.5,216
"4546",6,47,"disamb","rp",89,-0.5,"disamb rp",8,1,0,NA,-0.5,0.5,NA
"4548",6,43,"disamb","rp",89,-0.5,"disamb rp",8,0,228,228,-0.5,0.5,228
"4550",6,34,"disamb","rp",89,-0.5,"disamb rp",7,1,0,NA,0.5,0.5,NA
"4552",6,48,"disamb","rp",89,-0.5,"disamb rp",5,0,382,382,0.5,-0.5,382
"4554",6,39,"disamb","rp",89,-0.5,"disamb rp",8,1,0,NA,-0.5,0.5,NA
"4556",6,45,"disamb","rp",89,-0.5,"disamb rp",6,1,0,NA,-0.5,-0.5,NA
"4558",6,33,"disamb","rp",89,-0.5,"disamb rp",6,0,296,296,-0.5,-0.5,296
"4560",6,29,"disamb","rp",89,-0.5,"disamb rp",6,0,166,166,-0.5,-0.5,166
"4562",6,32,"disamb","rp",89,-0.5,"disamb rp",5,0,406,406,0.5,-0.5,406
"4564",6,41,"disamb","rp",89,-0.5,"disamb rp",6,0,210,210,-0.5,-0.5,210
"4566",6,31,"disamb","rp",89,-0.5,"disamb rp",8,1,0,NA,-0.5,0.5,NA
"4567",6,40,"disamb","rp",89,-0.5,"disamb rp",5,1,0,NA,0.5,-0.5,NA
"4569",6,25,"disamb","rp",89,-0.5,"disamb rp",6,1,0,NA,-0.5,-0.5,NA
"4571",6,46,"disamb","rp",89,-0.5,"disamb rp",7,0,216,216,0.5,0.5,216
"4573",6,44,"disamb","rp",89,-0.5,"disamb rp",5,0,840,840,0.5,-0.5,840
"4575",6,38,"disamb","rp",89,-0.5,"disamb rp",7,0,446,446,0.5,0.5,446
"4577",6,37,"disamb","rp",89,-0.5,"disamb rp",6,0,244,244,-0.5,-0.5,244
"5383",7,47,"disamb","rp",77,-0.5,"disamb rp",5,0,978,978,0.5,-0.5,978
"5385",7,31,"disamb","rp",77,-0.5,"disamb rp",5,0,584,584,0.5,-0.5,584
"5387",7,30,"disamb","rp",77,-0.5,"disamb rp",8,0,601,601,-0.5,0.5,601
"5389",7,44,"disamb","rp",77,-0.5,"disamb rp",6,0,425,425,-0.5,-0.5,425
"5391",7,42,"disamb","rp",77,-0.5,"disamb rp",8,0,356,356,-0.5,0.5,356
"5393",7,38,"disamb","rp",77,-0.5,"disamb rp",8,0,352,352,-0.5,0.5,352
"5395",7,39,"disamb","rp",77,-0.5,"disamb rp",5,0,238,238,0.5,-0.5,238
"5397",7,37,"disamb","rp",77,-0.5,"disamb rp",7,0,460,460,0.5,0.5,460
"5399",7,28,"disamb","rp",77,-0.5,"disamb rp",6,0,299,299,-0.5,-0.5,299
"5401",7,27,"disamb","rp",77,-0.5,"disamb rp",5,0,286,286,0.5,-0.5,286
"5403",7,34,"disamb","rp",77,-0.5,"disamb rp",8,0,287,287,-0.5,0.5,287
"5405",7,32,"disamb","rp",77,-0.5,"disamb rp",6,0,282,282,-0.5,-0.5,282
"5407",7,36,"disamb","rp",77,-0.5,"disamb rp",6,0,377,377,-0.5,-0.5,377
"5409",7,35,"disamb","rp",77,-0.5,"disamb rp",5,0,198,198,0.5,-0.5,198
"5411",7,45,"disamb","rp",77,-0.5,"disamb rp",7,0,676,676,0.5,0.5,676
"5413",7,33,"disamb","rp",77,-0.5,"disamb rp",7,0,327,327,0.5,0.5,327
"5415",7,29,"disamb","rp",77,-0.5,"disamb rp",7,0,464,464,0.5,0.5,464
"5417",7,48,"disamb","rp",77,-0.5,"disamb rp",6,1,0,NA,-0.5,-0.5,NA
"5419",7,26,"disamb","rp",77,-0.5,"disamb rp",8,0,599,599,-0.5,0.5,599
"5421",7,41,"disamb","rp",77,-0.5,"disamb rp",7,0,285,285,0.5,0.5,285
"5423",7,25,"disamb","rp",77,-0.5,"disamb rp",7,0,244,244,0.5,0.5,244
"5425",7,40,"disamb","rp",77,-0.5,"disamb rp",6,0,373,373,-0.5,-0.5,373
"5427",7,43,"disamb","rp",77,-0.5,"disamb rp",5,0,583,583,0.5,-0.5,583
"5429",7,46,"disamb","rp",77,-0.5,"disamb rp",8,0,349,349,-0.5,0.5,349
"6247",8,41,"disamb","rp",70,0.5,"disamb rp",8,0,184,184,-0.5,0.5,184
"6249",8,43,"disamb","rp",70,0.5,"disamb rp",6,0,304,304,-0.5,-0.5,304
"6251",8,48,"disamb","rp",70,0.5,"disamb rp",7,0,510,510,0.5,0.5,510
"6253",8,44,"disamb","rp",70,0.5,"disamb rp",7,0,786,786,0.5,0.5,786
"6255",8,28,"disamb","rp",70,0.5,"disamb rp",7,0,318,318,0.5,0.5,318
"6257",8,45,"disamb","rp",70,0.5,"disamb rp",8,0,310,310,-0.5,0.5,310
"6259",8,27,"disamb","rp",70,0.5,"disamb rp",6,0,518,518,-0.5,-0.5,518
"6261",8,47,"disamb","rp",70,0.5,"disamb rp",6,0,206,206,-0.5,-0.5,206
"6263",8,36,"disamb","rp",70,0.5,"disamb rp",7,1,0,NA,0.5,0.5,NA
"6265",8,35,"disamb","rp",70,0.5,"disamb rp",6,0,388,388,-0.5,-0.5,388
"6267",8,31,"disamb","rp",70,0.5,"disamb rp",6,0,1318,1318,-0.5,-0.5,1318
"6269",8,33,"disamb","rp",70,0.5,"disamb rp",8,0,268,268,-0.5,0.5,268
"6271",8,30,"disamb","rp",70,0.5,"disamb rp",5,0,308,308,0.5,-0.5,308
"6273",8,29,"disamb","rp",70,0.5,"disamb rp",8,0,726,726,-0.5,0.5,726
"6275",8,46,"disamb","rp",70,0.5,"disamb rp",5,0,236,236,0.5,-0.5,236
"6277",8,40,"disamb","rp",70,0.5,"disamb rp",7,0,3478,3478,0.5,0.5,NA
"6279",8,34,"disamb","rp",70,0.5,"disamb rp",5,0,452,452,0.5,-0.5,452
"6281",8,25,"disamb","rp",70,0.5,"disamb rp",8,0,338,338,-0.5,0.5,338
"6283",8,38,"disamb","rp",70,0.5,"disamb rp",5,1,0,NA,0.5,-0.5,NA
"6285",8,26,"disamb","rp",70,0.5,"disamb rp",5,0,836,836,0.5,-0.5,836
"6287",8,42,"disamb","rp",70,0.5,"disamb rp",5,0,636,636,0.5,-0.5,636
"6289",8,37,"disamb","rp",70,0.5,"disamb rp",8,0,516,516,-0.5,0.5,516
"6291",8,32,"disamb","rp",70,0.5,"disamb rp",7,0,394,394,0.5,0.5,394
"6293",8,39,"disamb","rp",70,0.5,"disamb rp",6,0,320,320,-0.5,-0.5,320
"7111",9,29,"disamb","rp",70,0.5,"disamb rp",5,0,4752,4752,0.5,-0.5,NA
"7113",9,31,"disamb","rp",70,0.5,"disamb rp",7,0,254,254,0.5,0.5,254
"7115",9,44,"disamb","rp",70,0.5,"disamb rp",8,0,398,398,-0.5,0.5,398
"7117",9,32,"disamb","rp",70,0.5,"disamb rp",8,0,1226,1226,-0.5,0.5,1226
"7119",9,26,"disamb","rp",70,0.5,"disamb rp",6,0,414,414,-0.5,-0.5,414
"7121",9,33,"disamb","rp",70,0.5,"disamb rp",5,0,410,410,0.5,-0.5,410
"7123",9,47,"disamb","rp",70,0.5,"disamb rp",7,0,440,440,0.5,0.5,440
"7125",9,45,"disamb","rp",70,0.5,"disamb rp",5,0,658,658,0.5,-0.5,658
"7127",9,37,"disamb","rp",70,0.5,"disamb rp",5,0,742,742,0.5,-0.5,742
"7129",9,46,"disamb","rp",70,0.5,"disamb rp",6,0,318,318,-0.5,-0.5,318
"7131",9,25,"disamb","rp",70,0.5,"disamb rp",5,0,370,370,0.5,-0.5,370
"7133",9,40,"disamb","rp",70,0.5,"disamb rp",8,0,282,282,-0.5,0.5,282
"7135",9,27,"disamb","rp",70,0.5,"disamb rp",7,0,358,358,0.5,0.5,358
"7137",9,41,"disamb","rp",70,0.5,"disamb rp",5,0,618,618,0.5,-0.5,618
"7139",9,30,"disamb","rp",70,0.5,"disamb rp",6,0,270,270,-0.5,-0.5,270
"7141",9,38,"disamb","rp",70,0.5,"disamb rp",6,0,290,290,-0.5,-0.5,290
"7143",9,39,"disamb","rp",70,0.5,"disamb rp",7,0,270,270,0.5,0.5,270
"7145",9,43,"disamb","rp",70,0.5,"disamb rp",7,0,262,262,0.5,0.5,262
"7147",9,28,"disamb","rp",70,0.5,"disamb rp",8,0,336,336,-0.5,0.5,336
"7149",9,34,"disamb","rp",70,0.5,"disamb rp",6,0,376,376,-0.5,-0.5,376
"7151",9,36,"disamb","rp",70,0.5,"disamb rp",8,0,216,216,-0.5,0.5,216
"7153",9,35,"disamb","rp",70,0.5,"disamb rp",7,0,204,204,0.5,0.5,204
"7155",9,48,"disamb","rp",70,0.5,"disamb rp",8,0,280,280,-0.5,0.5,280
"7157",9,42,"disamb","rp",70,0.5,"disamb rp",6,0,548,548,-0.5,-0.5,548
"7976",10,30,"disamb","rp",63,0.5,"disamb rp",7,0,762,762,0.5,0.5,762
"7978",10,32,"disamb","rp",63,0.5,"disamb rp",5,0,362,362,0.5,-0.5,362
"7980",10,41,"disamb","rp",63,0.5,"disamb rp",6,0,602,602,-0.5,-0.5,602
"7982",10,36,"disamb","rp",63,0.5,"disamb rp",5,0,466,466,0.5,-0.5,466
"7984",10,40,"disamb","rp",63,0.5,"disamb rp",5,0,446,446,0.5,-0.5,446
"7986",10,27,"disamb","rp",63,0.5,"disamb rp",8,0,420,420,-0.5,0.5,420
"7988",10,46,"disamb","rp",63,0.5,"disamb rp",7,0,330,330,0.5,0.5,330
"7990",10,42,"disamb","rp",63,0.5,"disamb rp",7,0,344,344,0.5,0.5,344
"7992",10,37,"disamb","rp",63,0.5,"disamb rp",6,0,446,446,-0.5,-0.5,446
"7994",10,28,"disamb","rp",63,0.5,"disamb rp",5,0,354,354,0.5,-0.5,354
"7996",10,35,"disamb","rp",63,0.5,"disamb rp",8,0,306,306,-0.5,0.5,306
"7998",10,48,"disamb","rp",63,0.5,"disamb rp",5,0,326,326,0.5,-0.5,326
"8000",10,33,"disamb","rp",63,0.5,"disamb rp",6,0,426,426,-0.5,-0.5,426
"8002",10,25,"disamb","rp",63,0.5,"disamb rp",6,0,328,328,-0.5,-0.5,328
"8004",10,29,"disamb","rp",63,0.5,"disamb rp",6,0,584,584,-0.5,-0.5,584
"8006",10,31,"disamb","rp",63,0.5,"disamb rp",8,0,264,264,-0.5,0.5,264
"8008",10,44,"disamb","rp",63,0.5,"disamb rp",5,0,484,484,0.5,-0.5,484
"8010",10,34,"disamb","rp",63,0.5,"disamb rp",7,0,776,776,0.5,0.5,776
"8012",10,26,"disamb","rp",63,0.5,"disamb rp",7,0,350,350,0.5,0.5,350
"8014",10,39,"disamb","rp",63,0.5,"disamb rp",8,0,308,308,-0.5,0.5,308
"8016",10,47,"disamb","rp",63,0.5,"disamb rp",8,0,216,216,-0.5,0.5,216
"8018",10,38,"disamb","rp",63,0.5,"disamb rp",7,0,396,396,0.5,0.5,396
"8020",10,45,"disamb","rp",63,0.5,"disamb rp",6,0,330,330,-0.5,-0.5,330
"8022",10,43,"disamb","rp",63,0.5,"disamb rp",8,0,304,304,-0.5,0.5,304
"8840",11,25,"disamb","rp",75,-0.5,"disamb rp",7,0,1670,1670,0.5,0.5,1670
"8842",11,45,"disamb","rp",75,-0.5,"disamb rp",7,0,836,836,0.5,0.5,836
"8844",11,26,"disamb","rp",75,-0.5,"disamb rp",8,0,666,666,-0.5,0.5,666
